company	lat	long
ТОО «Энергия»	51.15304562473745	71.49828940738124
Бёмер Арматура Казахстан	51.17206817203296	71.4206638258676
Астана-Теплотранзит	51.1681955075071	71.4874303763469
Астана ЭнергоСбыт	51.151367386085994	71.49641799530995
Danwil	51.162135677381755	71.43778234076457
Оркен Company	51.166503811051534	71.459478298436
Астана-теплотранзит	51.14367292795715	71.4120521064325
Астанаэнергосбыт	51.1235261545728	71.43139739991705
Астана-Энергия	51.20066247774623	71.42766665425856
АстанаЭнергоСбыт	51.14022646798915	71.4722282132347
Autonomous boiler houses of Residential complex «Budapest»	51.077074546250536	71.39685349999844
